,date,temperature_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration,soil_moisture_0_to_100cm_mean,wet_bulb_temperature_2m_mean
134,2018-05-15,21.2,9.141667,4.217961,0.32146922,11.380385
135,2018-05-16,15.75,7.3458333,2.694066,0.31660035,9.305179
136,2018-05-17,15.6,4.683333,3.7668118,0.31322756,7.3003154
137,2018-05-18,16.2,5.372917,3.633245,0.30818376,7.6462035
138,2018-05-19,19.0,7.6541657,4.18119,0.30328122,9.635737
139,2018-05-20,19.2,8.718751,4.076495,0.2980537,10.379066
140,2018-05-21,21.4,10.775001,3.595292,0.2946413,12.274335
141,2018-05-22,21.0,10.185416,4.234405,0.29328004,12.053375
142,2018-05-23,19.15,9.752083,3.2820392,0.2900525,11.461395
143,2018-05-24,20.15,11.837501,2.496433,0.29402164,13.066068
144,2018-05-25,19.7,12.114583,2.3677232,0.29588002,13.322618
145,2018-05-26,23.95,14.620834,3.55959,0.29593086,15.688114
146,2018-05-27,23.65,15.891669,3.0171795,0.2939704,16.817028
147,2018-05-28,24.45,16.552082,3.4825122,0.2910042,17.336239
148,2018-05-29,20.2,14.239583,1.7668126,0.29447544,14.901511
149,2018-05-30,20.85,14.097917,1.8210027,0.30462834,14.669995
150,2018-05-31,21.95,15.385418,3.0229132,0.30447623,16.006886
151,2018-06-01,21.25,15.062499,2.5770054,0.31244707,15.975655
152,2018-06-02,22.55,13.720834,3.2631116,0.3110375,15.187698
153,2018-06-03,24.15,13.749999,4.288788,0.30747834,15.4906
154,2018-06-04,18.55,13.312501,1.9970025,0.30342957,14.122029
155,2018-06-05,17.45,10.150001,2.8560078,0.3106767,11.721134
156,2018-06-06,21.05,9.495833,4.3888917,0.3157275,11.398018
157,2018-06-07,19.8,11.781249,2.3960443,0.3133246,13.01134
158,2018-06-08,20.45,11.85625,3.5730531,0.31015715,13.496373
159,2018-06-09,20.25,11.95,3.1159105,0.30708668,13.248334
160,2018-06-10,21.95,12.537501,3.5720422,0.30616668,13.96379
161,2018-06-11,22.3,10.650001,4.643109,0.30201125,12.758048
162,2018-06-12,17.8,10.037501,2.8442762,0.2969342,11.713325
163,2018-06-13,19.8,9.272917,3.7538273,0.2951934,11.394821
164,2018-06-14,21.4,11.335416,3.3462138,0.29311585,13.340141
165,2018-06-15,20.85,9.458334,3.9982963,0.29009712,12.065997
166,2018-06-16,18.9,9.804166,2.9926322,0.28781417,11.914628
167,2018-06-17,17.9,10.568751,2.6247125,0.28686288,12.214606
168,2018-06-18,23.5,13.591666,4.1332173,0.2855467,15.363014
169,2018-06-19,22.8,15.029167,3.0344787,0.2827017,16.515842
170,2018-06-20,23.9,14.274999,3.801424,0.27995834,15.843015
171,2018-06-21,18.55,4.7791667,4.8595576,0.2777029,9.520186
172,2018-06-22,20.6,6.5166664,4.9247556,0.27342463,10.283857
173,2018-06-23,22.4,7.6041665,4.985317,0.26859164,11.673397
174,2018-06-24,23.95,9.208333,5.090145,0.2625263,12.72046
175,2018-06-25,27.45,10.435416,5.675898,0.25785416,14.357955
176,2018-06-26,26.1,11.364582,5.6629696,0.2509683,14.351223
177,2018-06-27,24.5,10.704166,5.296847,0.24765086,13.40677
178,2018-06-28,26.55,12.025001,5.6393876,0.2478692,14.882256
179,2018-06-29,26.35,11.4958315,5.911873,0.24725457,14.629941
180,2018-06-30,25.9,10.779167,5.8823867,0.24482413,14.123927
181,2018-07-01,28.5,11.339583,6.5164227,0.24208416,15.616847
182,2018-07-02,26.9,8.63125,7.234105,0.24177755,14.13731
183,2018-07-03,24.85,8.781249,6.3546076,0.23925383,13.239479
184,2018-07-04,24.65,12.224999,4.3649926,0.23730628,14.795926
185,2018-07-05,27.7,14.51875,4.7706356,0.23539793,17.32371
